mode,study_label,source,privacy_type,question_id,n,mean,std,count_-3,count_-2,count_-1,count_0,count_1,count_2,count_3
human,formal,cross_manual,individual preferences/pastimes,cross_manual_ai_memory_comfort_score,1,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
human,formal,cross_manual,individual preferences/pastimes,cross_manual_more_severe_score,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
human,formal,cross_manual,individual preferences/pastimes,cross_manual_privacy_threat_score,1,-1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
human,formal,cross_manual,personal information,cross_manual_ai_memory_comfort_score,1,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
human,formal,cross_manual,personal information,cross_manual_more_severe_score,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
human,formal,cross_manual,personal information,cross_manual_privacy_threat_score,1,-1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
human,formal,manual,individual preferences/pastimes,manual_ai_memory_comfort_score,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
human,formal,manual,individual preferences/pastimes,manual_privacy_threat_score,1,-1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
human,formal,manual,individual preferences/pastimes,manual_share_willingness_score,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
human,formal,manual,other type of sensitive content,manual_ai_memory_comfort_score,1,-2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
human,formal,manual,other type of sensitive content,manual_privacy_threat_score,1,-1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
human,formal,manual,other type of sensitive content,manual_share_willingness_score,1,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
human,formal,manual,others_private_or_confidential_information,manual_ai_memory_comfort_score,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
human,formal,manual,others_private_or_confidential_information,manual_privacy_threat_score,1,-2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
human,formal,manual,others_private_or_confidential_information,manual_share_willingness_score,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
human,formal,manual,personal information,manual_ai_memory_comfort_score,3,1.3333333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,2.0,1.0,0.0
human,formal,manual,personal information,manual_privacy_threat_score,3,-1.3333333333333333,0.5773502691896258,0.0,1.0,2.0,0.0,0.0,0.0,0.0
