mode,study_label,phase,question_id,n,mean,std,count_-3,count_-2,count_-1,count_0,count_1,count_2,count_3
human,formal,in,cross_manual_ai_memory_comfort_score,2,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
human,formal,in,cross_manual_has_privacy,1,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
human,formal,in,cross_manual_more_severe_score,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
human,formal,in,cross_manual_privacy_threat_score,2,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
human,formal,in,manual_ai_memory_comfort_score,7,0.42857142857142855,1.2724180205607034,0.0,1.0,0.0,2.0,3.0,1.0,0.0
human,formal,in,manual_privacy_threat_score,7,-1.2857142857142858,0.4879500364742666,0.0,2.0,5.0,0.0,0.0,0.0,0.0
human,formal,in,manual_share_willingness_score,7,0.7142857142857143,0.4879500364742666,0.0,0.0,0.0,2.0,5.0,0.0,0.0
human,formal,pre,q1,1,-1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
human,formal,pre,q10,1,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
human,formal,pre,q2,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
human,formal,pre,q3,1,-2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
human,formal,pre,q4,1,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
human,formal,pre,q5,1,-1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
human,formal,pre,q6,1,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
human,formal,pre,q7,1,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
human,formal,pre,q8,1,-2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
human,formal,pre,q9,1,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
vlm,formal,in,ai_ai_memory_comfort_score,28,-0.2857142857142857,1.1818736805705579,0.0,5.0,6.0,11.0,5.0,0.0,1.0
vlm,formal,in,ai_privacy_threat_score,28,-0.39285714285714285,0.9164862737363227,0.0,1.0,13.0,12.0,1.0,0.0,1.0
vlm,formal,in,ai_share_willingness_score,28,0.14285714285714285,1.0440053112638317,0.0,1.0,6.0,12.0,7.0,1.0,1.0
vlm,formal,in,ai_trust_ai_score,28,-0.32142857142857145,1.2781227967601094,1.0,5.0,4.0,12.0,5.0,0.0,1.0
vlm,formal,in,cross_ai_memory_comfort_score,5,0.6,0.894427190999916,0.0,0.0,1.0,0.0,4.0,0.0,0.0
vlm,formal,in,cross_manual_has_privacy,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vlm,formal,in,cross_more_severe_score,5,-1.2,1.788854381999832,0.0,4.0,0.0,0.0,0.0,1.0,0.0
vlm,formal,in,cross_privacy_threat_score,5,0.0,1.224744871391589,0.0,1.0,0.0,2.0,2.0,0.0,0.0
vlm,formal,in,manual_ai_memory_comfort_score,5,0.2,0.447213595499958,0.0,0.0,0.0,4.0,1.0,0.0,0.0
vlm,formal,in,manual_privacy_threat_score,5,-0.6,0.8944271909999159,0.0,1.0,1.0,3.0,0.0,0.0,0.0
vlm,formal,in,manual_share_willingness_score,5,0.6,0.8944271909999159,0.0,0.0,0.0,3.0,1.0,1.0,0.0
vlm,formal,post,ai_comfort_others_use,1,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
vlm,formal,post,ai_feel_in_control,1,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
vlm,formal,post,ai_highlights_distracting,1,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vlm,formal,post,ai_highlights_easier,1,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vlm,formal,post,ai_trust_assistant,1,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vlm,formal,pre,q1,1,-2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vlm,formal,pre,q10,1,-1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vlm,formal,pre,q2,1,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vlm,formal,pre,q3,1,-1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vlm,formal,pre,q4,1,-3.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vlm,formal,pre,q5,1,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vlm,formal,pre,q6,1,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vlm,formal,pre,q7,1,-2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vlm,formal,pre,q8,1,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
vlm,formal,pre,q9,1,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
